Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
RJ Barrett,36:39,7,17,.412,1,5,.200,4,5,.800,2,4,6,2,1,0,2,4,19,-22,36:39,.495,.441,.294,.294,6.4,10.9,8.8,9.1,1.2,0.0,9.4,24.2,97,114,-2.8
Julius Randle,36:26,16,25,.640,0,4,.000,6,8,.750,3,9,12,6,0,1,5,5,38,0,36:26,.666,.640,.160,.320,9.6,24.7,17.8,46.7,0.0,2.4,14.9,38.5,118,110,10.6
Jalen Brunson,34:25,4,15,.267,0,4,.000,12,12,1.000,0,7,7,8,0,1,3,2,20,-10,34:25,.493,.267,.267,.800,0.0,20.3,11.0,34.4,0.0,2.5,12.9,28.3,103,112,0.1
Isaiah Hartenstein,24:50,2,4,.500,0,0,,3,3,1.000,1,2,3,3,3,0,2,4,7,-18,24:50,.658,.500,.000,.750,4.7,8.1,6.5,17.0,5.5,0.0,27.3,12.3,112,105,3.2
Donte DiVincenzo,19:51,1,7,.143,0,5,.000,0,0,,0,1,1,2,3,1,1,4,2,-12,19:51,.143,.143,.714,.000,0.0,5.0,2.7,13.6,6.9,4.3,12.5,16.9,39,101,-5.9
Josh Hart,30:39,2,4,.500,1,2,.500,0,0,,0,4,4,0,0,0,2,2,5,+6,30:39,.625,.625,.500,.000,0.0,13.1,7.0,0.0,0.0,0.0,33.3,8.2,73,116,-6.6
Immanuel Quickley,28:09,4,10,.400,3,7,.429,1,1,1.000,0,1,1,1,0,0,1,4,12,+3,28:09,.575,.550,.700,.100,0.0,3.6,1.9,5.5,0.0,0.0,8.7,17.0,103,119,-4.0
Taj Gibson,15:26,1,1,1.000,0,0,,0,0,,0,4,4,0,0,1,0,4,2,+7,15:26,1.000,1.000,.000,.000,0.0,25.9,14.0,0.0,0.0,5.6,0.0,2.7,200,108,-1.2
Quentin Grimes,13:35,1,3,.333,1,3,.333,0,0,,0,2,2,0,1,0,0,1,3,+1,13:35,.500,.500,1.000,.000,0.0,14.7,7.9,0.0,3.4,0.0,0.0,9.2,97,108,0.2
Ryan Arcidiacono,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Evan Fournier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DaQuan Jeffries,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Miles McBride,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dmytro Skapintsev,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,86,.442,6,30,.200,26,29,.897,6,34,40,22,8,4,16,30,108,,240,.547,.477,.349,.337,14.6,70.8,44.9,57.9,7.6,7.1,13.9,100.0,102.5,111.0,
